NAME	CITY	STATE	WEBSITE	DESCRIPTION	CAPABILITIES	SOURCE_URL
Plymouth Spring Company, Inc.	Bristol	CT	https://plymouthspring.com	Coils custom springs, wire forms and fourslide stampings in an 80,000 sq ft plant.	Springs; CNC wire forming; Fourslide; Stampings; Compression springs	https://www.nesma-usa.com/members-directory/
Atlantic Precision Spring Inc.	Bristol	CT	https://www.aps-ct.com	Manufactures flat springs, metal clips, fourslide parts and micro stampings.	Flat forms; Stampings; Fourslide; Springs	https://www.nesma-usa.com/members-directory/
Marion Manufacturing Company	Cheshire	CT	https://www.marionmfg.net	Progressive metal stamping, wire forming, fourslide parts and flat springs.	Stampings; Wire forms; Fourslide; Flat forms; Assemblies	https://www.nesma-usa.com/members-directory/
Micromatic Spring and Stamping	Addison	IL	http://www.micromaticspring.com	Coils compression, extension and torsion springs plus fourslide and stamped parts.	Compression springs; Extension springs; Torsion springs; Fourslide; CNC wire forming	https://www.expotracshows.com/spring-world/2018/
R.C. Coil Spring Mfg. Co., Inc.	Glendale Heights	IL	http://www.rccoilspring.com	Produces precision springs, stampings, wire forms and four-slide parts.	Compression springs; Extension springs; Fourslide; Stampings; Wire forms	https://www.expotracshows.com/spring-world/2018/
International Spring Company	Morton Grove	IL	https://internationalspring.com	Makes compression, extension and torsion springs, wave washers and wire forms.	Compression springs; Extension springs; Torsion springs; Wire forms; Spring washers	https://www.expotracshows.com/spring-world/2018/
Excel Spring & Stamping, Inc.	Bensenville	IL	https://www.excelspring.com	Custom metal stampings, four-slide parts, wire forms and assemblies since 1963.	Stampings; Fourslide; Wire forms; Assemblies; Flat forms	https://www.expotracshows.com/spring-world/2018/
Mastercoil Spring Company	McHenry	IL	https://www.mastercoil.com	Coils small compression, extension and torsion springs for dispenser and aerosol pumps.	Compression springs; Extension springs; Torsion springs; Wire forms	https://www.expotracshows.com/spring-world/2018/
O'Hare Spring Company, Inc.	Elk Grove Village	IL	https://oharespring.com	Produces springs, wire forms, stampings and custom assemblies since 1964.	Springs; Wire forms; Stampings; Assemblies	https://www.expotracshows.com/spring-world/2018/
Rapid Wire Forms, Inc.	Chicago	IL	https://rapidwireforms.com	Manufactures wire forms, stampings and springs with an in-house tool room.	Wire forms; Fourslide; Torsion springs; Stampings; Prototyping	https://www.expotracshows.com/spring-world/2018/
