NAME	CITY	STATE	WEBSITE	DESCRIPTION	CAPABILITIES	SOURCE_URL
Gamlet Inc.	York	PA	https://gamlet.com	Machine shop producing custom springs, wire forms and small lot stampings in-house.	Springs; Wire forms; Compression springs; Torsion springs; Prototyping	https://gamlet.com/general-machining-services/
Malin Company, Inc.	Cleveland	OH	https://malinco.com	Wire producer that straightens, cuts and forms wire, including medical wire forms.	Wire forms; Wire straightening; Wire cutting; Medical wire; Prototyping	https://malinco.com/wire-capabilities/
Mountain Manufacturing Technologies	Lino Lakes	MN	https://mountainmfg.net	Contract manufacturer performing in-house custom wire and tube bending plus machining.	Wire forms; Tube bending; Machining; Medical wire; Prototyping	https://mountainmfg.net/about-us/
M.D. Hubbard Spring Company, Inc.	Oxford	MI	https://www.hubbardspring.com	Runs CNC spring coiling equipment and produces wire forms and slide-formed parts.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.hubbardspring.com/custom-parts/springs/
Ampex Metal Products	Brook Park	OH	https://www.ampexmetal.com	Metal former operating CNC wire forming, spring coiling and multi-slide equipment.	CNC wire forming; Springs; Fourslide; Multi-slide; Stampings	https://www.ampexmetal.com/solutions/production/
Premier Spring & Manufacturing Ltd.	Ayr	ON	https://premierspring.com	Manufactures springs, wire forms and metal stampings with CNC wire forming machines.	CNC wire forming; Springs; Wire forms; Stampings; Fourslide	https://www.premierspring.com/m_cnc.htm
ACM Metal Forming Co. Ltd.	Orillia	ON	https://www.acmmetalforming.com	Produces small precision stampings and wire forms on slide forming equipment.	Wire forms; Multi-slide; Stampings; Springs	https://www.acmmetalforming.com/products/
Millwire Ltd.	Mississauga	ON	https://millwire.ca	ISO 9001 shop providing 3D CNC wire bending and precision machining.	CNC wire forming; Wire forms; Machining; Prototyping	https://millwire.ca/services
City Spring and Axle Ltd.	Edmonton	AB	https://cityspring.com	Takes custom compression, extension and torsion spring orders alongside leaf and coil spring manufacture and repair for heavy vehicles.	Springs; Compression springs; Extension springs; Torsion springs; Coil springs	https://cityspring.com/services/springManuAndRepCoil.php
A-TechCoil Spring & Wire Form	Mississauga	ON	https://www.atechcoil.com	Custom manufacturer of precision compression, extension, torsion springs and wire forms.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.atechcoil.com/
Custom Spring Corporation	Mississauga	ON	https://customspring.ca	Manufactures custom springs, wire forms, light stampings and sub-assemblies in-house.	Springs; Wire forms; Stampings; Assemblies	https://customspring.ca/
