NAME	CITY	STATE	WEBSITE	DESCRIPTION	CAPABILITIES	SOURCE_URL
Argo Products Company	Saint Louis	MO	https://www.argoproducts.com	CNC wire form, stamping and robotic welded assembly maker since 1932.	Wire forms; CNC wire forming; Stampings; Welded assemblies; Assemblies	https://www.argoproducts.com/
Car-Anth Manufacturing	Saint Louis	MO	https://car-anth.com	Metal fabricator doing wire bending, stamping and machining in-house.	Wire forms; Stampings; Machining; Welded assemblies	https://car-anth.com/
Valley Tool & Die Stampings	Logansport	IN	https://valleystampings.com	Stamper feeding wire stock up to .250 inch diameter since 1960.	Stampings; Wire forms; Fourslide	https://valleystampings.com/
Better Bilt Products	Addison	IL	https://bbponline.com	Wire fabricator making CNC wire forms, welded grids and bent tube.	Wire forms; CNC wire forming; Welded assemblies; Tube bending; Rings	https://bbponline.com/manufacturing-capabilities/
BAUMANN Springs USA	Grand Prairie	TX	https://baumann-springs.us	Manufactures springs and wire forms for the medical device industry.	Springs; Wire forms; Stampings; Medical wire; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Texas-TX
Tennessee Coil Springs	Kingston	TN		Manufactures coil and flat steel springs.	Springs; Coil springs; Compression springs	https://listings.allpages.com/tn-0008823882-kingston.html
WireTech Fabricators	Sturgeon Bay	WI	https://www.wiretechfab.com	Wire form manufacturer producing clips, fasteners and frames since 1963.	Wire forms; CNC wire forming; Springs; Assemblies; Prototyping	https://www.wiretechfab.com/
Butler Wire & Metal Products	Menomonee Falls	WI	https://www.butlerwire.com	Wire job shop producing welded mesh, wire forms, guards and baskets.	Wire forms; Welded assemblies; Machining; Assemblies	https://www.butlerwire.com/
Merrill Manufacturing Corporation	Merrill	WI	http://www.merrill-mfg.com	Custom wire form and welded wire products manufacturer since 1916.	Wire forms; Welded assemblies; Springs; Assemblies	https://www.mfg.com/manufacturer/merrill-manufacturing-corporation-merrill-wisconsin-708728/
Hewitt Manufacturing	Waldron	IN	https://hewittmfg.com	Family-owned fabricator of custom wire products for OEM customers.	Wire forms; Assemblies; Wire cutting	https://linkedin.com/company/hewitt-manufacturing-co
Acxess Spring	Colton	CA	https://www.acxesspring.com	Custom and stock spring manufacturer including wire rings.	Springs; Compression springs; Extension springs; Torsion springs; Rings	https://www.acxesspring.com/english/about.html
A.J. Metal Manufacturing	Corona	CA	https://www.aj-springs.com	Manufactures custom compression, extension, torsion springs and wire forms.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.aj-springs.com/metal_springs.html
Accurate Spring	Santa Clara	CA		Spring manufacturer working in wire.	Springs; Compression springs	https://www.industrycat.com/16/21000645816.html
20th Century Spring Mfg	Santa Clara	CA		Small custom spring shop coiling springs to order.	Springs; Compression springs; Prototyping	https://www.industrycat.com/16/61000784216.html
CDL Spring	South El Monte	CA		Manufactures springs, spring clips and formed metal parts.	Springs; Wire forms; Stampings	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=California-CA
