NAME	CITY	STATE	WEBSITE	DESCRIPTION	CAPABILITIES	SOURCE_URL
Chief Manufacturing, Inc.	Thomaston	GA	https://chiefmanufacturing.net	Family-owned shop running CNC 2D and 3D wire benders and a fourslide wire former.	CNC wire forming; Wire forms; Fourslide; Welded assemblies; Powder coating	https://chiefmanufacturing.net/cnc-wire-bending/
Modular Container Systems, Inc.	Lavonia	GA	https://www.mcs-ga.com	Straightens, cuts, bends and welds wire into baskets, trays and handling assemblies.	Wire forms; Wire straightening; Wire cutting; Welded assemblies; Assemblies	https://www.mcs-ga.com/wire-trays-baskets-assemblies-shipping-handling-applications/
Spring Works Utah, Inc.	Woods Cross	UT	https://www.springworksutah.com	Manufactures custom wire springs, flat springs and formed wire products.	Springs; Compression springs; Extension springs; Torsion springs; CNC wire forming	https://www.springworksutah.com/
Kansas Coil Spring Company	Wichita	KS	https://kscoilspring.com	AS9100 shop making coil springs and wire forms for aviation customers.	Springs; Coil springs; Compression springs; Torsion springs; Wire forms	https://www.mapquest.com/us/kansas/kansas-coil-spring-company-352462855
Farris-Burns Corporation	Shawnee	KS	https://www.farrisburns.com	Makes springs, fourslide wire forms, stampings and cut wire since 1951.	Springs; Compression springs; Torsion springs; Fourslide; Wire straightening	https://ks.biznet-us.com/firms/6144915/
Linale Manufacturing, Inc.	Omaha	NE		Manufactures leaf springs, hot wound springs and coiled flat springs.	Springs; Coil springs	https://nemep.unl.edu/linale-manufacturing-inc/
Minuteman Spring Company, Inc.	Millbury	MA	https://www.minutemansprings.com	ISO 9001 custom-only spring shop using CNC coiling and wire forming.	Springs; Compression springs; Extension springs; Torsion springs; CNC wire forming	https://www.minutemansprings.com/
Minuteman Spring Company, Inc.	Millbury	MA		Manufactures compression, extension and double torsion springs and wire forms.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.processregister.com/Monarch_Spring_Mfg_Inc/Supplier/sid110842.htm
Form Cut Industries, Inc.	Newark	NJ	https://formcut.com	Manufactures terminal pins, connectors and precision small-diameter wire forms.	Wire forms; Wire cutting; Machining; Prototyping	https://formcut.com/
Eureka Spring Co.	Newark	NJ	https://www.eurekaspringco.com	Manufactures coil springs, flat springs, wire forms and stampings since 1908.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.thomasnet.com/company/eureka-spring-co-1082701/profile
Hawthorne Spring Co.	Hawthorne	NJ		Spring manufacturer producing compression springs for industrial applications.	Springs; Compression springs	https://www.thomasnet.com/suppliers/northern-new-jersey/all-cities/compression-springs-77610202
Metro Metal Products Inc.	Jericho	NY	http://metrometalproducts.com	CNC wire forming shop producing wire displays, racks and shelves.	CNC wire forming; Wire forms; Powder coating; Assemblies	https://www.iqsdirectory.com/profile/metro-metal-products-74297/
Commerce Spring Corp.	Farmingdale	NY		Manufactures helical torsion and coil springs, wire forms and rings.	Springs; Torsion springs; Compression springs; Wire forms; Rings	https://www.armyproperty.com/manufacturer/0GJU7
Clover Wire Forming Company	Yonkers	NY	https://cloverwireforming.com	Runs modified fourslide machines, CNC formers and welders for wire forms.	Wire forms; Fourslide; CNC wire forming; Stampings; Welded assemblies	https://cloverwireforming.com/our-story/
R. Wireworks, Inc.	Elmira	NY		Manufactures custom wire forms in stainless, carbon steel and aluminum.	Wire forms; Prototyping	https://wireformcompanies.com/r-wireworks-inc/
Whiting Spring & Wire Corp	Akron	NY		Small spring maker producing furniture and coil springs.	Springs; Coil springs	https://www.whereorg.com/whiting-spring-wire-corp-11539673
Wire Specialty Mfg.	Robertsdale	AL	http://wirespecialty.com	Designs and manufactures wire products including racks, guards and baskets.	Wire forms; Assemblies; Prototyping	http://wirespecialty.com/
NPI Springs	Arvada	CO	https://www.npisprings.com	Manufactures canted coil and helical ribbon spring energizers for seals.	Springs; Coil springs; Rings	https://www.npisprings.com/
Triad Products Corporation	Everett	WA	https://www.triadproductscorp.com	Tube bending and wire forming shop building tubular and wire assemblies.	Tube bending; Wire forms; Welded assemblies; Assemblies; Machining	https://www.iqsdirectory.com/profile/triad-products-66600/
Pohl Spring Works	Spokane	WA	https://pohlsprings.com	Designs and fabricates custom coil, leaf and agricultural springs.	Springs; Coil springs; Compression springs; Extension springs; Torsion springs	https://pohlsprings.com/about-us/
Barker Wire Products, Inc.	Keosauqua	IA	https://barkerwire.com	Manufactures custom wire forms and displays on site with tube forming.	Wire forms; Tube bending; Welded assemblies; Powder coating	https://barkerwire.com/about/
