NAME	CITY	STATE	WEBSITE	STATUS	NOTE
Tennessee Coil Springs, Inc.	Kingston	TN		EXCLUDE	Appears closed: longtime president died Feb 2024 after 53 years; 765 Gallaher Rd now listed to 360 Degree Machinery; old goroane.com link is a county tourism site
Accurate Spring Mfg., Inc.	Santa Clara	CA		NOSITE	No company website; only legacy directory listings (1675 Walsh Ave, 408-588-0092); current operating status could not be independently confirmed
20th Century Spring Mfg	Santa Clara	CA		EXCLUDE	Reported closed; former site tcsprings.com is now a parked/placeholder page
C D L Spring Company, Inc.	El Monte	CA		NOSITE	City corrected from South El Monte to El Monte (2715 Merced Ave); cdlspringcompany.com no longer resolves
Garrett Spring Co	Apple Valley	CA		EXCLUDE	No evidence a company by this name exists; appears only in the same print-directory family as the source, with no independent record
Warren Spring & Mfg Co	Los Angeles	CA		EXCLUDE	Closed: City of Los Angeles business tax registration for 9527 S Alameda St ended Nov 2, 2007
Action Coil Spring Co., Inc.	Chandler	AZ		NOSITE	City corrected from Mesa to Chandler (472 N 56th St); coil springs and wire forming; no company website found
Abbey Spring & Wire Forms Co., Inc.	Belleville	NJ		NOSITE	No website (abbeyspring.com is an unrelated water-filtration company); 32 Heckel St, 973-751-5113; status not independently confirmed
A-1 Quality Spring, Inc.	Fraser	MI		NOSITE	No website; 31175 Kendall, 586-293-5491; separate company from M&S Spring in Fraser; status not independently confirmed
4-Sure Wire Products, Inc.	Rock Creek	OH		NOSITE	Wire forms and springs maker at 2589 Forman Rd; no company website, only aggregator listings
B & F Metal Products Co., Inc.	Cleveland	OH		NOSITE	Fourslide wire forms, spring clips and stampings, 13300 Enterprise Ave; former site bandfmetal.com no longer resolves
B&P Spring Production Company	Cleveland	OH	https://bpspring.com	OK	
Tadd Spring Company	Strongsville	OH	https://www.taddspring.com	OK	
Shank Spring & Design, Inc.	Piqua	OH		NOSITE	Active Ohio corporation (filed 1994), 540 South St, 937-773-0116; no company website
Golden Spring Company, Inc.	Bellbrook	OH		NOSITE	City corrected from Sugarcreek Township to Bellbrook (2143 Ferry Rd); golden-spring.com has lapsed to a parked page
MCM Industries	Cleveland	OH	https://www.mcmindustries.com	OK	Spring, wire form and stamping plant at 7800 Finney Ave, Cleveland; corporate office in Highland Hills; also imports/distributes other components
HS Spring of Kentucky, LLC	Louisville	KY		EXCLUDE	State corrected to KY: the company was headquartered in Louisville and the Jefferson, OH address was its plant, the former Hasco Spring Industries. Operations appear to have ended around 2009 and hsspring.com is now a parked page
Timac Spring Manufacturing, Inc.	Xenia	OH	https://www.timacspring.com	OK	Source name garbled: the Xenia spring and wire form maker is Timac Spring Mfg, 825 Bellbrook Ave. The separate Tremac Corp at 550 Bellbrook Ave supplies gaskets and switches, not springs
Gifford Spring Co	Garland	TX		EXCLUDE	Acquired by Orlando Precision in Aug 2024; the Gifford Spring name and domain have been retired
Engineered Spring Products, Inc.	Houston	TX		EXCLUDE	Acquired; now operates as a brand of MW Components (7400 Pinemont Dr) with no independent company site
Halco Spring & Stamping	Henderson	TX		NOSITE	Name corrected (source listed it as "Spring Halco & Stamping"); 12190 County Rd 4182 W, 903-854-2777; no website, status not independently confirmed
Kehr-Buffalo Wire Frame Co., Inc.	Buffalo	NY	http://kbwf.net	OK	City corrected: plant is at 127 Kehr St in Buffalo; Grand Island was only a PO box address
Disc and Belleville, Inc.	Niagara Falls	NY		EXCLUDE	A real company (626 6th St, discandbelleville.com) but a distributor/importer of disc springs and Belleville washers sourced from India, not a manufacturer
Bond Spring Corporation	Corry	PA	https://www.bondspring.com	OK	
Royersford Spring Company	Royersford	PA	https://royersfordspring.com	OK	Founded 1922; springs for mass transportation and furniture seating
Tricor Industries, Inc.	King of Prussia	PA	https://www.tricorindustries.com	OK	
Precision Products Group	Muskegon	MI		EXCLUDE	No Muskegon spring or wire form maker by this name. Precision Products Group is an Indianapolis/Cincinnati precision-tube company that sold Michigan Spring & Stamping in 2008
M.D. Hubbard Spring Company, Inc.	Oxford	MI	https://www.hubbardspring.com	OK	
A N L Springs Manufacturing	Detroit	MI	https://www.anlspring.com	OK	
Dowsett Spring Co	Dowagiac	MI		EXCLUDE	Defunct: federal CAGE record status is F, "obsolete, company location unknown"
Eaton Detroit Spring	Detroit	MI	https://www.eatondetroitspring.com	OK	eatonsprings.com redirects to this domain; leaf and coil spring manufacturer
McGuire Spring Corporation	Brighton	MI	https://mcguiresprings.com	OK	
Hyde Spring & Wire Co	Detroit	MI		NOSITE	Active manufacturer CAGE record (SIC 3495) at 14341 Schaefer Hwy with current staff; hydespring.com no longer resolves
Technical Products	Muskegon	MI		EXCLUDE	No spring or wire form manufacturer by this name found in Muskegon; the listing could not be tied to any real company
R C Coil Spring Manufacturing Co	Glendale Heights	IL	https://rccoilspring.com	OK	Springs, wire forms, stampings and fourslide parts
Wireformers	Mount Prospect	IL	https://wireformers.com	OK	500 W Carboy Rd
Alco Spring Industries	Chicago Heights	IL		EXCLUDE	Acquired: now "Alco Spring by Stucki," a brand of A. Stucki, and alcospring.com redirects to stucki.com
All American Spring & Stamping	Franklin Park	IL		NOSITE	Spring and stamping shop at 10220 Franklin Ave; no company website found
Available Spring & Mfg Co	Wheeling	IL		EXCLUDE	Absorbed: 350 Holbrook Dr is Keats Manufacturing's headquarters and the listing's contact is a Keats family member
